id;Наименование;URL;Регулярная цена;Промо цена;Бренд
265874;Конфеты «Победа вкуса» Мишки в лесу вафельные с начинкой в горьком шоколаде, 200 г;https://www.auchan.ru/product/konfety-pobeda-vkusa-mishki-v-lesu-vafelnye-s-nachinkoy-v-gorkom-shokolade-200-g/;174.99;-;Победа вкуса
871647;Конфета «Левушка» со вкусом клубника-банан, вес;https://www.auchan.ru/product/klubnika-banan/;61.8;-;Левушка
30891;Конфеты шоколадные АШАН Красная птица Мусс ореховый, 104 г;https://www.auchan.ru/product/kp-orehovyy-muss-104g/;189.99;-;АШАН Красная птица
556665;Конфеты «Красный октябрь» Mega Drive, вес;https://www.auchan.ru/product/konfeta_mega_drive_ves/?erid=LatgBq7xt&promocodePopup=aprelApr2024&utm_medium=cpc&utm_source=yandex&utm_campaign=nonb_dsa_top_msk|94169978&utm_term=&utm_content=k50id|010000004359101_4359101|cid|94169978|gid|5268296750|aid|14865822486|adp|no|pos|premium3|src|search_none|dvc|mobile|main&k50id=010000004359101_4359101&yclid=12427150145635221503&utm_referrer=https%3A%2F%2Fya.ru%2F;77.6;-;Красный октябрь
680626;Конфеты «Фабрика имени Крупской» Царское лакомство, 220 г;https://www.auchan.ru/product/carskoe_lakomstvo_220_g/;230.99;-;Фабрика имени Крупской
260208;Конфеты «Рот Фронт» Батончики с орехом, вес;https://www.auchan.ru/product/konfbatonchiki_rf_s_oreh_1kg/;81.9;-;Рот Фронт
971163;Конфеты «Левушка» детям с вареной сгущенкой, вес;https://www.auchan.ru/product/konflevushka-detyam-sgushchenka-ves/;63.0;-;Левушка
146342;Конфеты «АККОНД» Кокос Milk, вес;https://www.auchan.ru/product/konf-kokos-milk-akkond-ves/;71.47;539.0;АККОНД
405501;Конфеты «Красный октябрь» Аленка, вес;https://www.auchan.ru/product/kroktkonfalenka_kr_br_1kg/;83.6;45.9;Красный октябрь
943471;Конфеты «АККОНД» Ричио, вес;https://www.auchan.ru/product/akkond-konf-richio-ves/;63.1;-;АККОНД
757646;Конфеты шоколадные «Славянка» Super Step, вес;https://www.auchan.ru/product/super_step/;64.9;390.0;Славянка
525547;Конфеты шоколадные «Бабаевский» Бабаевские, вес;https://www.auchan.ru/product/konf_babaevskie_1kg/;79.9;-;Бабаевский
837677;Конфеты «Красный октябрь» грильяжные мягкие, вес;https://www.auchan.ru/product/konfgrilyazhnye_mg_1kg/?utm_referrer=https%3A%2F%2Fwww.google.com%2F;78.3;-;Красный октябрь
186557;Конфеты «Красный октябрь» Ромашки, 250 г;https://www.auchan.ru/product/konfety-krasnyy-oktyabr-romashki-250-g/;208.99;119.9;Красный октябрь
397839;Конфеты «Славянка» Золотой степ, 192 г;https://www.auchan.ru/product/konfety-slavyanka-zolotoy-step-192g/?ysclid=lvjwsu4enk762094564&utm_referrer=https%3A%2F%2Fya.ru%2F;131.99;-;Славянка
295740;Конфеты «Красный октябрь» шоколадные с фундуком, 200 г;https://www.auchan.ru/product/konfety-krasnyy-oktyabr-shokoladnye-s-fundukom-200-g/;383.99;299;Красный октябрь
258168;Конфеты вафельные «Красный октябрь» Сказка Мореход, вес;https://www.auchan.ru/product/konf_vafelnye_morehod_ves/;63.7;-;Красный октябрь
112242;Конфеты «Сладуница» Жена самурая, вес;https://www.auchan.ru/product/konf-zhena-samuraya-ves/;45.1;-;Сладуница
146235;Конфеты SHARLET Ассорти, вес;https://www.auchan.ru/product/sharlet-assorti-ves/;56.6;42.3;-
547341;Конфеты вафельные Konti Шоколадные истории: Джек, вес;https://www.auchan.ru/product/konfdzhek_shokistorii_1kg/;41.6;39.9;-
146226;Конфеты Konti Шоколад молочный, вес;https://www.auchan.ru/product/shokolad-molochnyy-konti-ves/;169.7;127.2;-
756308;Конфеты «Красный октябрь» Наслаждение орехи и мягкая карамель, вес;https://www.auchan.ru/product/naslazhdenie_s_myagkoy_karam_ves/;83.1;-;Красный октябрь
346486;Конфеты «Бабаевский» Оригинальные с фундуком и какао, 200 г;https://www.auchan.ru/product/konfety-babaevskiy-originalnye-s-fundukom-i-kakao-200-g/;193.99;-;Бабаевский
405493;Конфеты «Красный октябрь» Ласточка, вес;https://www.auchan.ru/product/kroktkonflastochka_1kg/;67.3;399.0;Красный октябрь
757645;Конфеты вафельные «СТЕП» MIX, вес;https://www.auchan.ru/product/step_mix/?utm_referrer=https%3A%2F%2Fwww.google.com%2F;77.7;-;СТЕП
