id;Наименование;URL;Регулярная цена;Промо цена;Бренд
564424;Кофе Nescafe Classic растворимый, 190г;https://online.metro-cc.ru/products/nescafe-classic-paket-190g;293;-;NESCAFE
372871;RIOBA Кофе в капсулах Delicato для кофемашин Nespresso 11шт, 55г;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-delicato-10x5g;229;329;RIOBA
557382043;Кофе Черная Карта молотый жареный, 250г;https://online.metro-cc.ru/products/250g-kofe-chernaya-karta-molotyy-zharenyy;239;251;ЧЕРНАЯ КАРТА
131202;Кофе Jacobs Monarch растворимый сублимированный, 150г;https://online.metro-cc.ru/products/jacobs-monarch-sublimirovannyj-150g;649;-;JACOBS
601742783;Кофе Piazza del Caffe Crema Vellutata в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-piazza-del-caffe-crema-vellutata-zerno;1239;-;PIAZZA DEL CAFFE
604946924;Кофе Жокей триумф растворимый (2г x 100шт), 200г;https://online.metro-cc.ru/products/100shth2g-kofe-zhokey-triumf-rastvorimyy;709;-;ЖОКЕЙ
607504457;Кофе Живой кофе Rio-Rio Бразилия зерновой, 800г;https://online.metro-cc.ru/products/800g-zhivoy-kofe-rio-rio-braziliya-zerno;1519;-;ЖИВОЙ КОФЕ
595933578;Кофе Monarch Лесной орех растворимый, 95г;https://online.metro-cc.ru/products/95g-kofe-monarch-lesnoy-oreh-rastvorimyy-st;369;399;MONARCH
601739378;Кофе Egoiste Captain в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-egoiste-captain-v-zernah;1699;2329;EGOISTE
604906910;Кофе Monarch Original растворимый, 270г;https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-270g;699;749;MONARCH
616405889;Кофе Carte Noire растворимый сублимированный (1.8г x 30шт), 54г;https://online.metro-cc.ru/products/30shtx18g-kofe-carte-noire-rastvorimyy-sublimirovannyy;399;-;CARTE NOIRE
427780;Кофе Jacobs Monarch Классический в зернах, 800г;https://online.metro-cc.ru/products/jacobs-monarch-klassicheskij-v-zernah-800-g;1069;-;JACOBS
559481;Кофе Dallmayr Espresso d`Oro в зернах, 1кг;https://online.metro-cc.ru/products/art-44940;1889;2359;DALLMAYR
604932681;Кофе Torabika капучино растворимый (25.5г x 20шт), 510г;https://online.metro-cc.ru/products/20shtx255g-kofe-torabica-kapuchino-rastvorimyy;329;349;TORABIKA
604952475;Кофе D'Arte Light растворимый, 100г;https://online.metro-cc.ru/products/100g-kofe-darte-light-rastvorimyy;399;469;D'ARTE
603204800;Кофе в капсулах Verle Classic Mousse для кофемашин Nespresso 10шт, 55г;https://online.metro-cc.ru/products/kofe-verle-classic-mousse-v-kapsulah-55g-x-10sht-55g;359;-;VERLE
607468824;Кофе Coffesso Brazil Alto молотый (10г x 5шт), 50г;https://online.metro-cc.ru/products/5shth10g-kofe-coffesso-brazil-alto-molotyy-drip-paket;199;237;COFFESSO
608945521;Кофе Живой кофе мокка молотый, 200г;https://online.metro-cc.ru/products/kofe-zhivoy-kofe-mokka-molotyy-200g;299;419;ЖИВОЙ КОФЕ
493357515;Кофе Jacobs Monarch в зернах, 230г;https://online.metro-cc.ru/products/230g-kofe-jacobs-monarch-zerno;359;-;JACOBS
601742908;Кофе Жокей Триумф растворимый, 280г;https://online.metro-cc.ru/products/280g-kofe-zhokey-triumf-rastvorimyy;549;769;ЖОКЕЙ
133411954;Кофе Carte Noire Intense Absolu в зернах, 800г;https://online.metro-cc.ru/products/800g-kofe-carte-noire-intense-absolu-zernovoy;1199;1329;CARTE NOIRE
603139941;Кофе Verle Decaf в дрип-пакетах 6шт, 66г;https://online.metro-cc.ru/products/6shth11g-kofe-verle-decaf-v-drip-paketah;429;-;VERLE
193959;Кофе Jardin Kenya Kilimanjaro растворимый, 95г;https://online.metro-cc.ru/products/jardin-kenya-kilimanjaro-95-g;251;-;JARDIN
622012;Кофе Jacobs Caramel с ароматом карамели растворимый, 95г;https://online.metro-cc.ru/products/95g-jacobs-s-arom-karameli;379;399;JACOBS
607370435;Напиток кофейный Monarch Classic 3в1 растворимый (13.5г x 50шт), 675г;https://online.metro-cc.ru/products/napitok-kofeynyy-monarch-classic-3v1-rastvorimyy-135g-x-50sht-675g;589;939;MONARCH
466552;Кофе Nescafe Gold растворимый сублимированный, 500г;https://online.metro-cc.ru/products/nescafe-sublimirovannyj-gold-500g;1099;1399;NESCAFE
554141;RIOBA Кофе в капсулах Dolce Gusto Grande Intenso 16шт, 112г;https://online.metro-cc.ru/products/rioba-dolce-gusto-grande-intenso-16sht;399;519;RIOBA
372713;RIOBA Кофе в капсулах Cremoso для кофемашин Nespresso 11шт, 55г;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-cremoso-11x5g;229;329;RIOBA
489885056;Кофе Fresco Arabica Blend в зернах, 200г;https://online.metro-cc.ru/products/200g-kofe-fresco-arabica-blend-zerno;359;-;FRESCO
581461;Кофе Fresco Blend в зернах, 1кг;https://online.metro-cc.ru/products/fresco-blend-1000g;1149;1299;FRESCO
600788130;Кофе в капсулах Carte Noire Lungo Profond для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/10shth52g-kofe-carte-noire-lungo-profond-v-kapsulah;379;449;CARTE NOIRE
